algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.013,1.828,0.879,0.879,0.879,0.879,0.879,0.860,0.799,0.860,0.121,0.121,0.343,1.373,1.172,0.863,72.565
AIS,0.517,33.873,0.915,0.916,0.915,0.915,0.915,0.902,0.852,0.902,0.085,0.085,0.248,1.023,1.011,0.912,79.575
GBBK,0.024,0.063,0.557,0.645,0.557,0.547,0.582,0.527,0.465,0.491,0.443,0.443,1.685,8.646,2.940,0.471,-54.103
GE SVM,42.120,60.878,0.703,0.715,0.703,0.679,0.683,0.662,0.578,0.654,0.297,0.297,0.927,3.928,1.982,0.626,28.450
Hidden Naive Bayes (HNB),0.019,0.074,0.557,0.645,0.557,0.547,0.582,0.527,0.465,0.491,0.443,0.443,1.685,8.646,2.940,0.471,-54.103
HistGradientBoostingClassifier,0.935,24.760,0.913,0.913,0.913,0.912,0.912,0.899,0.848,0.899,0.087,0.087,0.244,0.975,0.988,0.907,80.525
IGRF-RFE with k-fold Cross-Validation,0.008,1.016,0.874,0.874,0.874,0.874,0.874,0.854,0.791,0.854,0.126,0.126,0.378,1.580,1.257,0.856,68.446
ICA,0.453,56.750,0.903,0.904,0.903,0.903,0.903,0.888,0.832,0.888,0.097,0.097,0.292,1.233,1.110,0.897,75.375
Lasso Regression,0.012,135.474,0.626,0.650,0.626,0.608,0.615,0.573,0.518,0.565,0.374,0.374,1.180,5.282,2.298,0.515,-2.962
Meta (KNN),9.934,0.469,0.887,0.889,0.887,0.886,0.887,0.869,0.807,0.869,0.113,0.113,0.349,1.496,1.223,0.882,70.117
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.487,1457.732,0.457,0.485,0.457,0.466,0.476,0.371,0.365,0.370,0.543,0.543,1.648,6.770,2.602,0.343,-34.662
Projected Gradient Descent (PGD),0.022,34.914,0.729,0.737,0.729,0.708,0.712,0.692,0.608,0.685,0.271,0.271,0.831,3.619,1.902,0.658,29.739
PCA,0.007,2.019,0.854,0.853,0.854,0.853,0.853,0.830,0.762,0.830,0.146,0.146,0.437,1.833,1.354,0.833,63.390
RBF,47.826,71.436,0.706,0.717,0.706,0.682,0.686,0.665,0.581,0.657,0.294,0.294,0.918,3.900,1.975,0.630,28.925
Stacked Convolutional Neural Networks with k-fold Cross-Validation,3.354,95.198,0.785,0.793,0.785,0.761,0.761,0.756,0.665,0.751,0.215,0.215,0.713,3.266,1.807,0.745,35.310
Simulated Annealing (SA),0.004,144.155,0.396,0.268,0.396,0.292,0.275,0.385,0.265,0.266,0.604,0.604,1.942,7.735,2.781,0.221,-10.741
SVM with Optimization and k-fold Cross-Validation,12.522,53.492,0.612,0.629,0.612,0.566,0.576,0.571,0.486,0.543,0.388,0.388,1.225,5.047,2.247,0.481,0.457
Stacking Classifier,1.385,215.714,0.883,0.883,0.883,0.883,0.883,0.864,0.806,0.864,0.117,0.117,0.331,1.314,1.146,0.870,73.758
Stacking Dilated Convolutional Autoencoders,0.019,11.392,0.881,0.881,0.881,0.881,0.881,0.861,0.801,0.861,0.119,0.119,0.345,1.392,1.180,0.865,72.203
Temporal Deep Feedforward Neural Network,2.837,83.677,0.671,0.655,0.671,0.641,0.644,0.627,0.547,0.616,0.329,0.329,1.021,4.566,2.137,0.572,9.189
Voting Classifier,0.149,3.982,0.879,0.880,0.879,0.879,0.880,0.860,0.800,0.860,0.121,0.121,0.350,1.416,1.190,0.865,71.778
GBT,0.581,457.954,0.885,0.885,0.885,0.883,0.884,0.867,0.805,0.866,0.115,0.115,0.352,1.502,1.226,0.874,70.010
CART,0.015,3787.559,0.253,0.218,0.253,0.114,0.106,0.086,0.069,0.014,0.747,0.747,1.785,5.492,2.343,0.124,0.471
